"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_longFrag","52345-509",3,"dPB134","C09","detected",179.081456517862,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",17,21880,0.00085,0.911687415,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-510",1,"dPB134","D02","detected",257.084445553579,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",24,21449,0.00085,1.308793541,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-510",2,"dPB134","D06","detected",176.40799078572,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",15,19577,0.00085,0.898077044,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-510",3,"dPB134","D10","detected",201.857211678577,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",17,19365,0.00085,1.027636714,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-511",1,"dPB134","E04","detected",362.916242464296,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",34,21502,0.00085,1.847573598,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-511",2,"dPB134","E08","detected",304.258123517866,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",27,20377,0.00085,1.548950447,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-511",3,"dPB134","E12","detected",417.819975767869,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",31,17046,0.00085,2.127083513,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-512",1,"dPB134","B03","detected",160.831595767862,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",16,22841,0.00085,0.818779033,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-512",2,"dPB134","B07","detected",278.363820232151,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",25,20672,0.00085,1.417124903,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-512",3,"dPB134","B11","detected",144.468596250004,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",13,20685,0.00085,0.73547649,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-513",1,"dPB133","G03","detected",105.712229071432,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",10,21796,0.00085,0.538171348,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-513",2,"dPB133","G07","detected",185.108851714291,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",18,22380,0.00085,0.942372336,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-513",3,"dPB133","G11","detected",91.0514516607169,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",9,22705,0.00085,0.463534663,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-514",1,"dPB134","D01","detected",24.297368660715,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",2,19007,0.00085,0.123695695,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-514",2,"dPB134","D05","detected",120.813097035718,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",11,21017,0.00085,0.615048494,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-514",3,"dPB134","D09","detected",45.9256537142871,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",4,20107,0.00085,0.233803328,"copies/uL",2.8,1,"field survey"
"Tt_longFrag","52345-531",1,"dPB133","G04","detected",491.827505124136,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",42,18458,0.00085,2.685080101,"copies/uL",3.002666667,1,"field survey"
"Tt_longFrag","52345-531",2,"dPB133","G08","detected",441.224094189477,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",41,20061,0.00085,2.408816146,"copies/uL",3.002666667,1,"field survey"
