"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_16S","52345-510",1,"dPB134","D02","detected",798.657587553596,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",74,21449,0.00085,4.065893173,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-510",2,"dPB134","D06","detected",472.654329910728,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",40,19577,0.00085,2.406240225,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-510",3,"dPB134","D10","detected",561.556731017874,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",47,19365,0.00085,2.858834267,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-511",1,"dPB134","E04","detected",936.927940142884,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",87,21502,0.00085,4.769814968,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-511",2,"dPB134","E08","detected",931.825569714313,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",82,20377,0.00085,4.743839264,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-511",3,"dPB134","E12","detected",910.107970160741,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",67,17046,0.00085,4.633276939,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-512",1,"dPB134","B03","detected",536.847348714302,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",53,22841,0.00085,2.733041048,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-512",2,"dPB134","B07","detected",615.664805642876,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",55,20672,0.00085,3.134293556,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-512",3,"dPB134","B11","detected",525.680580267873,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",47,20685,0.00085,2.676192045,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-513",1,"dPB133","G03","detected",350.148171214296,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",33,21796,0.00085,1.782572508,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-513",2,"dPB133","G07","detected",465.130827267871,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",45,22380,0.00085,2.367938757,"copies/uL",2.8,1,"field survey"
