"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_DLL1","52345-509",3,"dPB134","C09","detected",327.648309803581,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",31,21880,0.00085,1.668027759,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-510",1,"dPB134","D02","detected",474.544759267871,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",44,21449,0.00085,2.415864229,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-510",2,"dPB134","D06","detected",354.400068589296,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",30,19577,0.00085,1.804218531,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-510",3,"dPB134","D10","detected",453.918912660728,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",38,19365,0.00085,2.310859919,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-511",1,"dPB134","E04","detected",688.864784535735,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",64,21502,0.00085,3.506947994,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-511",2,"dPB134","E08","detected",533.635454589302,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",47,20377,0.00085,2.716689587,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-511",3,"dPB134","E12","detected",719.63973557145,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",53,17046,0.00085,3.663620472,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-512",1,"dPB134","B03","detected",476.009530660728,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",47,22841,0.00085,2.423321247,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-512",2,"dPB134","B07","detected",481.197931892871,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",43,20672,0.00085,2.449734926,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-512",3,"dPB134","B11","detected",357.780207517868,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",32,20685,0.00085,1.821426511,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-513",1,"dPB133","G03","detected",222.760175000006,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",21,21796,0.00085,1.1340518,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-513",2,"dPB133","G07","detected",413.403374803583,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",40,22380,0.00085,2.104598999,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-513",3,"dPB133","G11","detected",274.970631571437,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",27,22705,0.00085,1.399850488,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-514",1,"dPB134","D01","detected",48.63823819643,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",4,19007,0.00085,0.247612849,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-514",2,"dPB134","D05","detected",186.99914966072,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",17,21017,0.00085,0.951995671,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-514",3,"dPB134","D09","detected",114.959919053575,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",10,20107,0.00085,0.585250497,"copies/uL",2.8,1,"field survey"
"Tt_DLL1","52345-531",1,"dPB133","G04","detected",1464.32238648821,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",125,18458,0.00085,7.994312763,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-531",2,"dPB133","G08","detected",1422.62594664492,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",132,20061,0.00085,7.766675472,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-531",3,"dPB133","G12","detected",1239.12309339598,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",105,18313,0.00085,6.764861107,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-532",1,"dPB133","D04","detected",1318.41122459832,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",122,20002,0.00085,7.19772625,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-532",2,"dPB133","D08","detected",1320.75296456809,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",118,19312,0.00085,7.210510731,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-532",3,"dPB133","D12","detected",1199.26486400431,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",95,17118,0.00085,6.547259331,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-533",1,"dPB134","C02","detected",1039.41471111353,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",85,17665,0.00085,5.674574375,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-533",2,"dPB134","C06","detected",1077.30013526008,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",92,18449,0.00085,5.88140583,"copies/uL",3.002666667,1,"field survey"
"Tt_DLL1","52345-533",3,"dPB134","C10","detected",1039.28483277762,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",93,19330,0.00085,5.673865318,"copies/uL",3.002666667,1,"field survey"
