"marker","r","p","p_ratio","r_sd"
"cytb",-0.117330966881904,0,1,0.011185241787555
"Tt_16S",-0.161478299722113,-0.220540230582525,0.80208536985087,0.00700728184020477
"Tt_DLL1",-0.171728915207406,-0.886861642031905,0.411946561957354,0.00903948498198663
"Tt_longFrag",-0.170854974376758,-2.34350893090977,0.0959902235318773,0.0113077447891975
