"scenario","true","med","mean","sd","lo95","hi95","lo50","hi50"
"distinct rates",0.5,1.07541725224172,1.21768280216603,0.854091382928956,0.0419390077014735,3.22038252333718,0.54230621872982,1.74046811493769
"distinct rates",2.20689655172414,2.43045771478795,2.47494170115221,1.14253605981101,0.430546493784132,4.77710865382196,1.64681040689053,3.23866342733191
"distinct rates",3.91379310344828,3.92971805008358,3.91577964464177,1.18852009432281,1.56173432335429,6.23188539352198,3.13511838364362,4.70736030692996
"distinct rates",5.62068965517241,5.78421321612151,5.77546720862085,1.23103146116359,3.32801620047912,8.09043516702729,4.96496577445709,6.62793584276439
"distinct rates",7.32758620689655,6.97842243445336,6.97778114136492,1.2441601059338,4.46677102796407,9.38799958437276,6.15795610652231,7.83196900216927
"distinct rates",9.03448275862069,9.55642927306008,9.55611606507399,1.28109427026365,6.9905677181721,12.0484542525083,8.68119325593241,10.4121420321001
"distinct rates",10.7413793103448,9.73960109913401,9.73546065976735,1.18066263049157,7.3915276999628,12.1043754377512,8.93971875642982,10.521996417893
"distinct rates",12.448275862069,11.5789489460263,11.6016501752535,1.27258155899539,9.14784664358088,14.0922500628706,10.7501261524768,12.4409293931363
"distinct rates",14.1551724137931,11.1601200433668,11.1599532719784,1.21543057516079,8.79234276283636,13.538775201928,10.3607073728636,11.9715478071009
"distinct rates",15.8620689655172,13.9076640806978,13.9269497983817,1.55398992873605,10.9950321775667,16.9375538543695,12.8416712749598,14.9750895548957
"distinct rates",17.5689655172414,17.1017684631516,17.1650693649971,2.6983244497481,12.1273329428467,22.7600308614145,15.3012315425343,18.9033182796256
"distinct rates",19.2758620689655,17.5495834641265,17.6154156163696,2.73491888885432,12.3467741212949,23.1810374001051,15.7630495164035,19.4541462941178
"distinct rates",20.9827586206897,22.8044828990418,22.8264076132078,2.95529994278941,17.1909866493068,28.691308513114,20.7609633872582,24.7866708891919
"distinct rates",22.6896551724138,23.706930415769,23.7046938513325,2.88746197202391,18.0323028166169,29.2961602998598,21.7331206241031,25.6159426385889
"distinct rates",24.3965517241379,24.2111642201879,24.2429652903993,2.9406463593401,18.5037081395329,30.1439953790579,22.2566195538434,26.1714253629525
"distinct rates",26.1034482758621,27.9111674869973,27.8886742658023,3.08899501553784,21.7380399730886,33.7797642825767,25.8093849573456,29.9883070649783
"distinct rates",27.8103448275862,28.678845179121,28.7107894740042,2.90817188663447,22.9716115598924,34.3717189505381,26.8552731430265,30.7010156647054
