"scenario","n","non_detections","bias","mae","rmse","cover50","cover95","ci95_med","divergences","max_rhat"
"distinct rates",30,0.296296296296296,0.130739377661204,1.93031555049158,2.59544406281416,0.7,0.966666666666667,11.4829099115988,0,1.00155058434148
"actual rates",30,0.264814814814815,-1.65120041796175,3.9478546438388,4.74270233544065,0.566666666666667,0.966666666666667,22.7942816229322,0,1.00381307684335
"low biological variation",20,0.266666666666667,-0.34834446481791,1.88530505143319,2.43253891825178,0.4,1,6.37327019243423,0,1.00200039561831
"observed biological variation",20,0.272222222222222,-0.989915767524916,5.46453739517824,6.36564264921152,0.35,0.95,23.2999143861609,0,1.00103931944643
"high biological variation",20,0.283333333333333,-1.07123633136826,6.45224338595738,7.43871877504307,0.4,0.9,30.6693844690477,0,1.00940536631644
"2 markers, similar rates",20,0.0333333333333333,-1.01707270876924,7.65482747754879,9.21326281314276,0.45,0.9,37.5551075844327,0,1.00087633655836
"3 markers",20,0.385185185185185,-1.39939799764173,2.7834408744059,4.02963945905858,0.55,1,15.9281311056174,0,1.00655241273154
"6 markers",20,0.392592592592593,-1.74468607170908,3.08403109473814,4.23348985775917,0.3,0.95,12.1429458528593,0,1.00475050787848
