"parameter","mean","se_mean","sd","X2.5.","X50.","X97.5.","n_eff","Rhat"
"sigma_obs",0.62291018367897,0.000266832284349273,0.0299960561635392,0.567481328802822,0.621896270336028,0.685070453477524,12637.2206282781,0.999598217330064
"alpha",-6.85391533159744,0.0221599681474416,2.0091155411533,-11.1852795640628,-6.7060057660367,-3.38708203457353,8219.99517357125,0.999913036560262
"beta",2.85265599547216,0.00653445381032444,0.658527034062833,1.70182438654994,2.80768804529799,4.2618253978101,10156.1389043641,1.00003688965518
"logC50",2.37720069989311,0.00334490178309992,0.282754860181545,1.78167638930731,2.39411132954215,2.89207281260476,7145.8421277479,0.999875116991819
