"parameter","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"C[1]",7.72435852024055,0.0162044841432742,0.832652892474352,6.47500781569489,7.61024079126526,9.64142715985818,2640.32610576763,1.00032679335826
"C[2]",7.24274933405233,0.0190589351357041,0.967776680441398,5.64810756329403,7.16017638664054,9.3169339297497,2578.41632535698,1.00175105131918
"C[3]",8.4245931543698,0.0175422595179552,1.10113227865469,6.64992240121549,8.30353141646835,10.8486220600062,3940.1061682695,1.00005656192909
"C[4]",8.17718138518051,0.0150222395518799,0.828267564582463,6.92919835397578,8.0424075172997,10.1254941900357,3039.98851333529,0.999875918624875
"C[5]",8.53654381489722,0.0179108687142828,1.10666772306348,6.7698468203165,8.39373611315935,11.022393673164,3817.6946207135,1.00021870629496
"C[6]",8.39291891487336,0.0187052764916769,1.14899699648173,6.50126717345214,8.30003747279007,10.8974484466336,3773.19736660692,1.00013942486605
"C[7]",7.64746975250472,0.0202836920613324,1.19791801705032,5.63822606920367,7.55965822487904,10.1582105354082,3487.86909209512,1.00103959103822
"C[8]",8.70637153905297,0.0137691091812257,0.75502205037663,7.61653338631925,8.57234218392035,10.4737404157964,3006.82105994926,1.00117760731419
"C[9]",7.57763953490424,0.0154842195892691,0.84149288732614,6.2913011656793,7.46150393385485,9.47090281096144,2953.399898972,1.0005452973659
"C[10]",5.49506927531809,0.0200846473226192,1.07034770938609,3.70864750995509,5.43207035916175,7.77608599951416,2840.01966830549,1.00045395653231
"C[11]",7.43158370065006,0.0173949349795792,0.926924707185044,5.97287524316843,7.33620516859808,9.47561996571927,2839.50931283016,1.0016140137278
"C[12]",7.88766718017067,0.018926739610718,1.01113603085212,6.17758491654408,7.82278947928276,10.0476514179824,2854.08930499344,1.00025902136297
"C[13]",7.15689713666144,0.0206444328608226,1.04544472116698,5.42885632588449,7.08255330424794,9.39103951776834,2564.46180465905,1.0007065437604
"C[14]",7.43014063453927,0.0203761843393378,1.04165566587916,5.66417371045308,7.36333971796692,9.64976562443974,2613.38045650036,1.00133845476961
"C[15]",7.78836534343621,0.0158008142134659,0.829898994532851,6.59276106061758,7.65632039467417,9.72650650152383,2758.61785938744,1.00103173157466
"C[16]",7.72636094969671,0.0164495153520633,0.824746017501491,6.50386103067153,7.60701616645323,9.58717499328784,2513.82036548624,1.00121712992736
"C[17]",8.27699766450881,0.0153744082916032,0.802646534516574,7.08810204388862,8.15264637429283,10.086618100133,2725.53553943535,1.00117063443874
"C[18]",5.95603929409061,0.0144120848584626,0.681811703391386,4.98222279231991,5.83671582450194,7.59865889169974,2238.07832976708,1.00229330555049
"C[19]",6.40654831567981,0.0230418479052757,1.50564378217315,3.52306168396119,6.3851309985249,9.43052845645852,4269.822867124,0.999844256074481
"C[20]",5.75093407613879,0.0225079339291348,1.15994439759469,3.62348961886837,5.715545115352,8.12179423115646,2655.84716975288,1.00103919938764
"C[21]",6.97526429346998,0.0213812771362766,1.38921323062037,4.25533173264811,6.9749487609562,9.75287359959273,4221.53637916787,1.0008237287145
"C[22]",7.66380031592071,0.0207991085791232,1.51937205437526,4.75105165147642,7.66949795446847,10.6573392250491,5336.28263989486,1.00044115067798
"C[23]",7.6711799846802,0.0225727684133719,1.48604791081106,4.70695182872403,7.66439718216693,10.6114481630031,4334.07049633215,1.00029468581335
"C[24]",6.40259822399729,0.0211486490439565,1.34271505405758,3.7519303730014,6.3798163257905,9.08875560370083,4030.90400510072,1.00001840049331
"C[25]",6.86375675212822,0.0227768811758665,1.29567142262509,4.5331058705817,6.80737189951077,9.55417185965458,3235.94586693997,1.00180729075182
"C[26]",7.93807110529332,0.0212457686830007,1.51849766570064,4.95983711602102,7.94327628866553,10.868221317296,5108.38192845405,0.999783695745623
"C[27]",6.85740714840311,0.0235150934274816,1.25469966499223,4.42518144398375,6.85602937914809,9.32317396219436,2846.99134532506,1.00135842145383
"C[28]",6.37166538545118,0.0227768457829255,1.43854380943667,3.58047091750755,6.35593089176212,9.22071722920959,3988.95394647154,1.00133208406141
"sigma_bio[1]",0.806858740516644,0.00108682198175278,0.0482705516242136,0.716939274594215,0.804938515503452,0.908881767388197,1972.63936854065,1.00390241775334
"sigma_tech",0.345126317413133,0.000174499564890322,0.0124667219695524,0.321765744791475,0.344707894234131,0.370680285926485,5104.06094312982,1.00059816287036
"alpha",-6.23525681734242,0.00971323922255675,0.843034007750313,-8.03154642406687,-6.18488378694507,-4.73161400470047,7532.89681951936,1.00003510465183
"beta",2.4646513534206,0.00330953398653519,0.295902806607328,1.94446548221892,2.4463528224031,3.10271033831149,7994.00615219538,1.00002624082305
"logC50",2.52632203433867,0.000909626527714127,0.0835820693993174,2.3537685171072,2.52896174372747,2.68260846620126,8443.06250713167,0.999738028719257
