"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C[1]",8.02299965043282,0.0261900517421093,1.6792544386278,4.67265633214872,6.88571528211843,8.00983653595162,9.14241674459075,11.31397047459,4111.12135648452,1.00177352039507
"C[2]",8.25525374269868,0.026946119829556,1.68616184546092,4.97351548098638,7.10290725362663,8.24338786986856,9.3776068702473,11.6039882254103,3915.66962516026,1.00018353789208
"C[3]",8.01778477781029,0.025556671495241,1.67646802989082,4.77761489517921,6.88537936502704,7.9843680868117,9.15284200448841,11.3251885863547,4303.10526911674,1.00006430801614
"C[4]",8.04647132815759,0.0250957875740888,1.67100782137681,4.77815859391977,6.9283200816856,8.04127044149173,9.16948809331095,11.3541428288865,4433.58772662885,1.00034927099485
"C[5]",8.06901190812219,0.0244713704320579,1.70184971601449,4.74731384436272,6.92189136103425,8.05678319446527,9.24408385623904,11.4170251342383,4836.44029371631,0.999818781172045
"C[6]",4.48864461335995,0.0155341372019758,0.915608133433716,2.73282724796692,3.82806756849884,4.49211617371018,5.12650067961282,6.28865364932126,3474.12156077316,1.00044728966285
"C[7]",8.38947144143263,0.0241728950732913,1.60647049954948,5.21730501784473,7.35651740078797,8.3857646284406,9.45912444102864,11.5035569850265,4416.6010944561,1.00016746336345
"C[8]",4.13714765090673,0.0119918290006362,0.778102541730862,2.89516304579518,3.55228557169664,4.06143007004389,4.63838992389169,5.81684900410731,4210.20084385412,1.00050890000004
"C[9]",4.81315224285073,0.0199460369180834,1.18062069356318,2.48710124010544,4.00908223634773,4.81768035864386,5.6192548107667,7.12368471373189,3503.54375109491,1.00030197566876
"C[10]",5.51915369699024,0.0178461775576544,1.10970009713674,3.35426496868298,4.75097011707812,5.51669130051823,6.24990880319083,7.73275496291646,3866.5250561661,1.00016484989989
"C[11]",5.56833815164573,0.0210571167150436,1.30313568310685,3.03880807896691,4.68689928337664,5.57454099259455,6.47157037557329,8.09781864477808,3829.84736006431,0.999789074417436
"C[12]",5.94607113980631,0.0217725041351485,1.35056642865462,3.29123293344535,5.0514564315335,5.93419846406564,6.84113228608614,8.63357821950922,3847.8234486761,1.00001141151865
"C[13]",8.39421645430024,0.0205676414176663,1.58142387860702,5.31965723487296,7.30385113384317,8.37172210687936,9.47612060697506,11.5177918955114,5911.90708834698,0.999902911217061
"C[14]",5.28082098336509,0.0147254672366035,0.991626910205012,3.39394060556831,4.59687051143307,5.27414219364119,5.95003445444713,7.23462347600632,4534.80315634433,0.999949311486887
"C[15]",7.42241129098136,0.0236198989730206,1.67975985427139,4.22547541532063,6.28417163852908,7.3863415769548,8.52807644146294,10.7535284342881,5057.52832402383,1.00036082377959
"C[16]",8.66705893384798,0.0209815747896212,1.53230257099117,5.70808437533983,7.61607307148866,8.66354237750091,9.69912533731692,11.7035730271788,5333.50734736863,0.999639588497418
"C[17]",5.33566182619422,0.0166697797139273,1.07889240542565,3.19229084932402,4.59670025963678,5.32473028894865,6.07721815471619,7.44359687345166,4188.86679796884,1.000820285909
"C[18]",7.37696940322191,0.0242986441984746,1.68223048164946,4.14349317747531,6.24011014274731,7.33171242818907,8.50357993828586,10.7078480004899,4792.99430022643,1.00036906367621
"C[19]",3.34080634747206,0.0126250636544984,0.746561998350119,2.1716941084439,2.76751263093053,3.25908126572084,3.81458772398926,4.98490211977752,3496.75018291327,1.00058198392617
"C[20]",8.41015353405371,0.0146176008840014,0.928169290656337,6.58574783921531,7.77190073482147,8.40841676500832,9.03386742696738,10.2574754061157,4031.82980412136,1.00005948394136
"C[21]",7.22674270842733,0.013388257008673,0.879745571449377,5.48682443489639,6.63803874675683,7.22584341000563,7.8173598470667,8.95183064205945,4317.8355449326,1.00002636609102
"C[22]",6.81591028759875,0.0123859030973223,0.813351644085219,5.28751805320088,6.24435999880005,6.80486938430882,7.35690642640115,8.46548102934261,4312.22429339811,0.999782534877157
"C[23]",5.85824781202472,0.0120744337413753,0.812191681681747,4.31616057796489,5.3036202508288,5.84506388073959,6.40610334902375,7.50584288851596,4524.63477580097,0.999740980601016
"C[24]",5.36913803700352,0.0122740124552222,0.772266183877029,3.98573722766572,4.80758671941291,5.35834062715772,5.887065023873,6.94125792983096,3958.77589590198,1.00032063724496
"C[25]",5.12825363786796,0.013921236535228,0.86362591574922,3.52302991576337,4.51545568810073,5.11283858499369,5.72033884367518,6.85100901565375,3848.53736266356,1.00017215266702
"C[26]",7.88053122175417,0.012872005723403,0.840709403146606,6.31081488402803,7.29631101802869,7.85446986912663,8.44901709108011,9.55464536979774,4265.78891615975,1.00011100372703
"C[27]",6.74419743494442,0.0120519361084168,0.728157275572131,5.52228713545378,6.19445478379202,6.69345252489697,7.23088107584185,8.29290172051675,3650.36881113941,1.00060582747194
"C[28]",7.73499746953067,0.0132819366688004,0.857120894085093,6.14003207628085,7.13158221972844,7.72610835120749,8.31608472945741,9.46036884015773,4164.48549642004,0.999681954177862
"C[29]",7.49503670592162,0.012679972483949,0.787757823218293,6.10998132768709,6.93158814131608,7.46214050691111,8.02007019696726,9.12632607481402,3859.65803057607,0.999810548136349
"C[30]",6.92448546059232,0.0123935834057456,0.838025023526797,5.29992892094902,6.35945789171879,6.9016958221078,7.48874823066344,8.59313230913458,4572.14701218328,1.00015728034184
"C[31]",7.43300751789537,0.0125275154089721,0.824015331739304,5.93851791994401,6.85344933341328,7.41392766329098,7.97476665978242,9.14026682552399,4326.53970300153,1.00019026335811
"C[32]",7.57902718726368,0.0130016505656117,0.843611353924722,5.99795285239644,6.97882319458508,7.57612639344841,8.15650795125204,9.29805430111651,4210.05580884074,1.00000313371252
"C[33]",7.08235861132367,0.0112147682702444,0.729859615089218,5.86792552366264,6.53539292603822,7.0269198744587,7.57323015032609,8.61214711539946,4235.43536965323,1.00064783886105
"C[34]",7.99894905061596,0.0123905646956097,0.794436342618358,6.59681042824923,7.41209555479946,7.96827782996196,8.53635676448344,9.6367107279091,4110.89143339096,0.999771374202059
"C[35]",5.3676476882132,0.0143008174802396,0.884690825345063,3.6347452237234,4.76357040873842,5.36573637565027,5.96690219928009,7.09713342672598,3827.02517625768,1.00011841978727
"C[36]",5.83062101925132,0.0111563696214344,0.82893998267803,4.25290605991765,5.25498226375087,5.82230536363947,6.38678784984719,7.4513453690647,5520.77930606324,1.00000081003482
"C[37]",6.69384376420779,0.0117704030143567,0.796397570272967,5.30392653546542,6.1027046109103,6.65879735041781,7.23906448072879,8.31321625146266,4578.0147370032,0.999936547358202
"C[38]",8.12160555295201,0.0120463576795918,0.791857682491861,6.70793407405143,7.54692796854743,8.0825321747089,8.65776111553028,9.72834295601651,4320.98502246571,0.999942141214414
"C[39]",7.69577007224111,0.0131189672294566,0.858410825048661,6.04173050280009,7.11227632273999,7.69853592499725,8.27722379525235,9.41171547107746,4281.45197537746,0.999821998406845
"C[40]",5.66225948511747,0.0163384632916503,1.02721148926935,3.64020495178585,4.9462726992752,5.66062225658301,6.35014783790183,7.71712587119419,3952.73157709532,1.00065331555837
"C[41]",6.8021483860079,0.0129810907869949,0.865842760706761,5.10228038686412,6.20982953777581,6.80617664497348,7.39758891018164,8.49332092508178,4448.93115962353,0.999754886367519
"C[42]",6.177305895982,0.0139967898932019,0.852540714018791,4.54610478005164,5.57328652944874,6.17393213583939,6.75527055787945,7.91016061201574,3709.99538933026,1.00003626223684
"C[43]",6.53562084508998,0.011396305105541,0.720521506670135,5.37209709440337,5.99248697991548,6.4693655728349,7.01710990616766,8.05841958776809,3997.29095996923,0.999841601732889
"C[44]",7.99101015126169,0.0125862917777343,0.838813356411976,6.41669317990264,7.40838693237908,7.96639428446452,8.55525677787144,9.68736455065199,4441.55539896535,1.00004164962064
"C[45]",5.35819049560984,0.0111702756504413,0.728557344274714,4.17251753543897,4.80206583757365,5.30815246975821,5.84443321775755,6.92972979724366,4254.02169271775,0.999690924360974
"C[46]",6.541656849722,0.0111164949942264,0.677552423998763,5.47860124050987,6.01630856027793,6.46772704284432,6.99879012395398,8.01642511746578,3714.92502465824,0.999957797896206
"C[47]",4.17194166651384,0.0192688130235564,1.0104964462831,2.28295025041768,3.46758008646444,4.13862114700584,4.85559382205401,6.20103757202511,2750.17073247411,1.00038081018112
"C[48]",3.75925192084662,0.0156056804784776,0.937041086987447,2.11870290112133,3.06946398085523,3.72298218588758,4.38012196971612,5.7031543415195,3605.38665491509,1.00001473960614
"C[49]",6.70282889522733,0.0133076208095123,0.845518846381539,5.09008741662439,6.11717341951277,6.70511411960852,7.29215694585758,8.34546739513461,4036.87916275716,1.00018532887242
"C[50]",6.62515091027957,0.0132779242494341,0.87177918769629,4.94970173567581,6.0245225288021,6.59830448566409,7.23484575384977,8.32448605893437,4310.74784868109,1.00043243387226
"C[51]",6.89423608427633,0.0111973756786309,0.832200178956143,5.26268342819931,6.33309348209182,6.89365844228419,7.46174944703806,8.53318752306366,5523.61132168884,1.00076344348231
"C[52]",6.1444375195917,0.0135879359393162,0.789108866442573,4.72160036302828,5.57069284513552,6.13303739359625,6.67040238046717,7.77659738568808,3372.61575823077,1.00121306011187
"C[53]",6.55192537315041,0.0118868859495835,0.811380578302541,5.03573277859089,5.98296587804898,6.53211830209552,7.08766538793104,8.18825445962085,4659.21792648326,1.00036231799242
"C[54]",6.82647282389691,0.0122320445028346,0.758026870584123,5.50455935939983,6.26296196853154,6.79193695634629,7.34104681381725,8.36925593354724,3840.35256421886,0.999844589862877
"C[55]",6.93918993374971,0.0121423132706476,0.887334813126349,5.21304926424691,6.34384415526082,6.91318361083347,7.5479875202958,8.6591278697271,5340.38016853975,0.999905800081174
"C[56]",7.07492752027872,0.0123826180957511,0.800990520227608,5.65111855802579,6.50001213388362,7.05602970593508,7.60415756626025,8.71187758648959,4184.36725800232,1.00025773282638
"C[57]",7.14590117300355,0.01224151413272,0.80919862621613,5.54859413103416,6.59597461031617,7.15673586470988,7.69656540601667,8.72579053458752,4369.58303846139,0.999731862389215
"C[58]",6.98311327458928,0.0124161618578379,0.839350195673416,5.38666425463795,6.40202480528954,6.96793318156095,7.5629158211495,8.62990569120914,4569.95223792575,0.99973613158556
"C[59]",7.6469833523902,0.0142539360340382,0.858343385489262,5.95985082550861,7.07494803579747,7.64167794054739,8.21458001516999,9.34721078756744,3626.20638665085,1.00011818436421
"C[60]",9.32931202666468,0.0116946783806979,0.884901767195482,7.58153910376797,8.74083063554814,9.32833420414725,9.93335596174977,11.0684673622817,5725.50185305782,1.00035352367789
"C[61]",6.76971236027962,0.00982894436955113,0.663704258526059,5.72931115784098,6.25669491448713,6.67581423766225,7.20697664341195,8.26330748674195,4559.69143960274,0.999675229082927
"C[62]",6.7502527081382,0.0117850727110876,0.831142330988973,5.14804897867105,6.18067986984637,6.74196709796888,7.31304158757736,8.41752266300461,4973.77655901838,0.999641310657783
"C[63]",7.80441302087266,0.0137015305960598,0.875378922139814,6.07660045532799,7.23549604819932,7.80789738407738,8.37673312720671,9.52594828555173,4081.82142352762,1.00069353453416
"C[64]",7.48462901728586,0.0133374431633666,0.874813510676057,5.78375019807998,6.90564903004837,7.45817326226517,8.07692044790874,9.2040551997598,4302.15249026995,1.00061202356028
"C[65]",7.42148658775989,0.012601227445615,0.839400226924385,5.79539165888636,6.85337168237258,7.407374056319,7.99466974328745,9.12187966096421,4437.23534489661,1.00033374357853
"C[66]",5.99808409486474,0.0132498989194429,0.848418078613627,4.35380065367508,5.41136932794292,5.99596256301689,6.55677927073489,7.70444584339478,4100.10234960901,0.999968682140162
"alpha",-1.89542245305329,0.00347715596262177,0.255478691301579,-2.41057008725092,-2.0646973814314,-1.88831224891698,-1.71934382029094,-1.41635957572318,5398.34982170046,1.00032678638512
"beta",0.651921852652241,0.000802189268634661,0.0587089835465111,0.543700670467383,0.611796699518569,0.650083840767275,0.690523754605982,0.772999011958055,5356.18324851423,1.00013498498683
"sigma",0.600149488339089,0.000263695212093338,0.0202908357127847,0.561976385575224,0.586207048090748,0.59995400518631,0.613830451317443,0.640332514603616,5921.00435266258,0.999779425839858
"mu[1,1]",2.40512117000155,0.00735309769708404,0.563750879176551,1.29692227630349,2.01515007453069,2.41226573036288,2.79002943107626,3.50552558847436,5878.05698182254,0.999838884768742
"mu[1,2]",-0.750372814879703,0.0156866512569826,1.09298957928371,-2.88713622544982,-1.48652980031155,-0.743672671877251,-0.0251375615327785,1.38262219699793,4854.80241941442,1.00114658496021
"mu[1,3]",-1.24086538745424,0.0160663672042144,1.1171931064877,-3.42498148226931,-1.99373930484499,-1.23215101126295,-0.499432645455535,0.936589893833038,4835.27430978427,1.00117094574545
"mu[1,4]",-2.98171984997672,0.0214552468846766,1.46257392234067,-5.84893285171996,-3.95730095171728,-2.96292875967177,-1.99948206789683,-0.1446724423124,4646.95662516252,1.00140701001475
"mu[2,1]",4.11041407592164,0.00432169034011439,0.338991211066193,3.44603419745399,3.88282644059355,4.10510187323854,4.3356248375668,4.77128378401218,6152.75449351334,1.00011141509003
"mu[2,2]",1.61181465924642,0.0139756439156049,0.883260174297665,-0.156940255058766,1.02362862886333,1.61320678220258,2.20780536313943,3.32752847606512,3994.23528639345,1.00008167706689
"mu[2,3]",1.14454630924987,0.0143931854936857,0.908246922663009,-0.665382953313466,0.540552358015481,1.14821782000366,1.7576429586034,2.91416021152032,3981.93370511303,1.00008323021663
"mu[2,4]",-0.277077417396556,0.0202121584533748,1.25986500056915,-2.76903844368896,-1.11486743301556,-0.273829161678597,0.581809775197121,2.17559608527179,3885.28278724894,1.00009969334862
"mu[3,1]",2.47753341076125,0.00731447299497616,0.565216369814873,1.38449226285532,2.09149734281741,2.47986510188313,2.85095439793839,3.59424087913188,5971.22424564762,0.999791206212543
"mu[3,2]",-0.64334313657958,0.0157739571064732,1.07613862105078,-2.76371770174408,-1.37192336655541,-0.643635029453052,0.0877756202938713,1.4422148801653,4654.30805611291,1.00005415540563
"mu[3,3]",-1.13261182466271,0.0161414405538944,1.09987774552283,-3.30344889221485,-1.87855063330391,-1.13534997999286,-0.386844658625686,0.994117912399881,4643.05948332352,1.00005786382445
"mu[3,4]",-2.85664326779206,0.0214247598141459,1.43948148370411,-5.67322105215613,-3.83139349953204,-2.84991377919722,-1.89059468085327,-0.0860442459616517,4514.19423614808,1.00009114308722
"mu[4,1]",2.39685169616558,0.00707752031499907,0.564337216159506,1.28832250737286,2.0115331663626,2.39113906548105,2.78765768614444,3.48676758947589,6357.92109414456,1.00022629863106
"mu[4,2]",-0.772797102462331,0.0145372810100796,1.07808975953875,-2.91953884282484,-1.49567895776982,-0.768582079125427,-0.0251555084902753,1.28747967262475,5499.75661206268,0.999791119432542
"mu[4,3]",-1.26379011233825,0.0148814638189027,1.10185734432739,-3.46348510997508,-1.99833019654679,-1.25908294109519,-0.50150165943159,0.835007763069506,5482.25757015324,0.999791681453905
"mu[4,4]",-3.01152338285707,0.0197836092355792,1.44166732169679,-5.89585645409401,-3.98650209943409,-3.01043811886412,-2.03290198725412,-0.233364787480095,5310.30001762919,0.999814542144446
"mu[5,1]",2.95769380478106,0.00716923828421542,0.564081504802703,1.84075633055372,2.58661513870382,2.96014260513475,3.32898289746527,4.06048650848316,6190.67051015495,0.999738261532316
