"sample","obs_i","t_med","t_lo95","t_hi95"
"52345-634",1,58.1827949042501,27.9660556330177,88.3758250572019
"52345-652",2,45.1575421185708,16.0851256143976,74.4473547673588
"52345-630",3,57.2937382710784,27.84175060132,87.1896576032477
"52345-633",4,58.2353093313382,28.7020324052437,89.142817767824
"52345-626",5,53.3505707051873,22.9735892794959,84.3888987345137
"52345-623",6,14.0651865680413,2.60858096369947,26.0503721860323
"52345-638",7,62.661491245071,34.4606441365105,90.8257852598274
"52345-647",8,7.7268304732634,0.491712346851011,19.3429468783626
"52345-624",9,23.4252620302262,7.10472949839927,39.91299790281
"52345-653",10,20.9954707410589,6.38940606245967,36.1609006806032
"52345-637",11,28.3769683214421,10.5506581854397,46.138199262654
"52345-625",12,32.6090814875551,13.8815563703526,51.4885642489941
"52345-635",13,62.8584038786922,36.5800658062439,91.3676920061713
"52345-622",14,20.389188292779,7.56662503481571,33.5263414187326
"52345-620",15,36.861188817378,16.8475122630288,58.0298421761687
"52345-648",16,60.371293893441,34.287425696971,87.1127764945084
"52345-651",17,23.7529497085915,8.29488425135704,39.3800039945348
"52345-659",18,35.0220205327747,14.5823298743366,55.8542088005577
"52345-537",19,6.90184469354871,0.435504818870739,18.25527678
"52345-545",20,17.9250398556451,6.12666743396338,29.8375555194215
"52345-505",21,19.567045023521,8.63342333215054,30.208304776881
"52345-504",22,12.2221114533519,2.80645557840387,22.6509224447887
"52345-566",23,12.4004256054222,2.84581943728526,22.4971920770622
"52345-561",24,9.71195110276053,1.15441048875991,19.4898874591253
"52345-548",25,12.9913456079753,2.75313141069171,24.0126835128939
"52345-553",26,12.8392824519574,3.24526526027822,23.5275631875617
"52345-557",27,7.66550845774505,0.625285051492919,17.5855421138072
"52345-534",28,12.3641659796975,2.47411573628874,23.0903273461515
"52345-559",29,9.25989996177918,0.918553210441941,19.7686650335201
"52345-535",30,15.4187630844992,5.68389892914831,26.1870542561614
"52345-502",31,10.6934197085229,1.43966555733659,21.168801584168
"52345-541",32,15.5187142715409,5.78328710545076,25.9426612485468
"52345-560",33,7.6182556591507,0.599822544982815,17.2700520597481
"52345-532",34,9.78943240935625,1.13855475205366,20.0800794861445
"52345-564",35,15.5030741272608,4.53794105503213,26.674201169655
"52345-547",36,13.7399685067274,3.98069185337135,23.8855670213772
"52345-513",37,9.36794050669142,1.04659067551073,19.7620168376464
"52345-531",38,9.70820112320642,1.31164560386045,19.7784572258001
"52345-558",39,14.385072856187,4.04425678905708,24.8565307395852
"52345-538",40,18.8901534806826,4.96377222218811,32.8658780747811
"52345-507",41,19.9681158921161,9.27424460312465,30.5560295840836
"52345-563",42,14.0027558835193,4.10808754532287,24.6364302595731
"52345-509",43,7.1114870985888,0.547259910617253,17.1177864083967
"52345-533",44,12.1307564345693,2.38512537728873,22.6460733559929
"52345-514",45,7.54006159189912,0.646673273329252,17.3958749613076
"52345-510",46,5.99966472974432,0.329850691151034,15.6728634649855
"52345-565",47,15.2800701864564,2.17050758068916,29.8615155102272
"52345-539",48,12.3117271551973,1.18391765124643,25.9913018866145
"52345-544",49,15.1356065870862,5.12040374958931,25.2567899084199
"52345-550",50,16.1056336333065,5.46792901489928,26.8838971116603
"52345-542",51,17.1743316573098,6.99847076884537,27.4342235670541
"52345-536",52,9.83478953380272,1.33297695880255,20.0571854166658
"52345-506",53,11.3107209133926,2.04513537158685,21.4700330242103
"52345-512",54,9.14104143847432,1.32730917630867,18.9300991004553
"52345-549",55,22.7103869254302,12.0034904038575,33.6894639907589
"52345-554",56,10.4872535344714,1.78750009109939,20.8178716002618
"52345-556",57,18.9664006925483,9.35799420302003,28.3386436991351
"52345-503",58,13.9439111389949,4.11116989155774,24.2800211441644
"52345-543",59,20.3527124589522,10.0786084685727,31.0502008848179
"52345-546",60,27.2275846307244,16.2739768597485,38.2792569498202
"52345-511",61,5.76885043842113,0.381962828961405,15.5352144055583
"52345-540",62,14.8124091138336,4.9028602636771,25.0445820354931
"52345-562",63,17.4017910223872,6.42631224929112,27.7769338627324
"52345-551",64,17.8812906504796,7.56640984543486,28.5795480504221
"52345-555",65,15.138522780729,5.34323258745656,25.661842409028
"52345-552",66,12.7671408420079,2.70155584730633,23.3138582464622
