"scenario","n","zero_wells","bias","mae","rmse","cover50","cover95","ci95_med","divergences","max_rhat"
"distinct rates",30,0.27962962962963,-0.0598331249849311,2.01157933936952,2.75480069551156,0.6,1,12.653716309851,0,1.00410195287114
"actual rates",30,0.250925925925926,-0.659647888764523,2.8100870689834,3.47255168069626,0.733333333333333,1,21.9634461957838,0,1.00425044881875
"low biological variation",20,0.234722222222222,-2.6359668912402,3.41055786134872,4.84816523450253,0.5,1,9.75167656385677,0,1.00198320342054
"observed biological variation",20,0.234722222222222,-2.73989614302945,6.2259921068516,7.62540680872159,0.4,0.9,22.0360631517041,0,1.00647349839336
"high biological variation",20,0.269444444444444,-3.48597010618689,6.95184737075947,8.31030922455582,0.35,1,29.3192636117138,0,1.00331468320068
"2 markers, similar rates",20,0.00277777777777778,-1.60420318281589,8.46488951745264,10.332439764169,0.4,0.9,37.9474096767978,0,1.00204457949209
"3 markers",20,0.346296296296296,-2.26732567354859,3.41530438089652,5.06715752609902,0.45,1,15.4595007954891,0,1.00580542051992
"6 markers",20,0.363888888888889,-1.32312644829655,3.2549334402892,4.22301200471125,0.3,0.95,13.0946473783479,0,1.00572387623462
