"marker","r","p","p_ratio","r_sd"
"cytb",-0.118916499253815,0,1,0.0104196544779556
"Tt_16S",-0.161128070112715,-0.220540230582525,0.80208536985087,0.00685100393058438
"Tt_DLL1",-0.177386579593338,-0.886861642031905,0.411946561957354,0.0101025007403337
"Tt_longFrag",-0.189234397658595,-2.34350893090977,0.0959902235318773,0.0140154867651435
