"Fold","sigma_tech","lo95","hi95"
"1+2",0.244897710236594,0.175943361844671,0.328043210097265
"1+3",0.176173205227316,0.121280996024451,0.245278143336008
"2+3",0.334619672205085,0.266801755687702,0.419781492060563
