"scenario","true","med","mean","sd","lo95","hi95","lo50","hi50"
"distinct rates",0.5,0.975819473813003,1.12643942679833,0.809438097198967,0.0504584802428872,3.04128598233696,0.485815527770746,1.61550127448509
"distinct rates",2.20689655172414,2.00228721522222,2.07681559439801,1.0755259675748,0.21975565532696,4.34288619833343,1.2968370217236,2.80887910176541
"distinct rates",3.91379310344828,3.75402433912703,3.76333555187243,1.22254628867526,1.38029970654223,6.20811976424926,2.92076618929498,4.59097256855703
"distinct rates",5.62068965517241,5.90297434100337,5.89867213502351,1.23830218867083,3.48739442422919,8.3221786116871,5.07150673920264,6.73072114308869
"distinct rates",7.32758620689655,6.57374472589399,6.55143507913001,1.30577317965501,4.0103245500703,9.20153240509577,5.67079382841805,7.40530908599714
"distinct rates",9.03448275862069,8.82486616467808,8.82577768437393,1.30978300564518,6.25841597841026,11.4535767596921,7.94066214653318,9.68979359547595
"distinct rates",10.7413793103448,9.39060071732372,9.41777867322417,1.41119922316928,6.68664098106712,12.2772143638938,8.45399470121585,10.3367292155338
"distinct rates",12.448275862069,11.0237661884103,11.0815492505446,1.5233743127038,8.16779937311321,14.1253649632306,10.0569387798605,12.0812602518374
"distinct rates",14.1551724137931,11.3442038158161,11.3612080425453,1.62869605715354,8.24361578650537,14.5656761832092,10.2364977023396,12.4396970319053
"distinct rates",15.8620689655172,12.7746804107641,12.8191001939348,1.931690687845,9.17577486312231,16.709790296806,11.4889668028419,14.1556670071966
"distinct rates",17.5689655172414,18.2010952389567,18.235334351853,2.69580310408129,13.1315799535636,23.6229015674526,16.391753957384,20.0266427832792
"distinct rates",19.2758620689655,18.7109893251112,18.8166196640644,2.82667860355243,13.5723589510561,24.5989837254436,16.8547574917728,20.6485726819524
"distinct rates",20.9827586206897,23.9939010486145,24.0460390277862,2.97478247622653,18.3372756730139,30.1261914537583,22.0868265563636,26.0387661439961
"distinct rates",22.6896551724138,23.6822340686033,23.7889559294308,3.19492600761031,17.6392904347991,30.2537382136255,21.6358904395745,25.9283212166785
"distinct rates",24.3965517241379,22.8833888266151,22.916001872362,3.07887865780374,17.045933837373,29.0571918536694,20.8348234929404,24.9620223300096
"distinct rates",26.1034482758621,25.3540563776352,25.3373885087268,3.28704505795555,19.023691241498,31.7166760823737,23.0736965054432,27.5602694001767
"distinct rates",27.8103448275862,26.1361128470033,26.1316008820489,3.37964020604021,19.6030667259082,32.8121693228336,23.8472614759642,28.3988667485388
"distinct rates",29.5172413793103,33.9908877777949,33.9953283780999,3.91927309923237,26.3401567599878,41.8202343140054,31.3576841434091,36.6460005281235
"distinct rates",31.2241379310345,28.3792187128022,28.5353654185284,3.73006687344143,21.4194678377153,35.9012385216867,26.0025660141291,31.139575482259
"distinct rates",32.9310344827586,37.7436491685507,37.9284157908523,5.17712543379248,28.2111377991931,48.303135728844,34.4255780612595,41.3142429033677
"distinct rates",34.6379310344828,41.399265890569,41.6547728180405,5.55679777465333,31.1295057868221,53.3523886486687,37.9022164865235,45.3241979696934
"distinct rates",36.3448275862069,31.1130760397009,31.1994946977062,4.22506823037845,23.1587501990869,39.9568391036994,28.3754082604002,33.942520879081
"distinct rates",38.051724137931,32.7246336103097,32.9016055873774,4.64822394424736,24.4449745425291,42.8274954182294,29.667903539375,35.8833969512
"distinct rates",39.7586206896552,39.5335363029058,39.8405531859624,5.54615778679015,29.6194790404725,51.4770874116777,35.9764766904802,43.4416815555962
"distinct rates",41.4655172413793,46.6213323562412,47.0096854577464,6.91876881014138,34.4646247496382,61.3326561323091,42.1259826661005,51.5255420221732
"distinct rates",43.1724137931034,42.0978900324534,42.4806129163267,6.36373685955007,30.7076136798554,55.7011093623009,38.008013833162,46.7223818216122
"distinct rates",44.8793103448276,47.5581372998981,47.980921332594,7.04316599436077,35.1602633279057,62.2327420045649,43.0776800061,52.6303728260948
"distinct rates",46.5862068965517,45.9510905241944,46.1707312843761,6.83520729229083,33.5725793879846,60.5291825288125,41.4119077195998,50.6843213887368
