Extraction,Number,PCR_rep,Timepoint,Timepoint_name,Carboy,Time_sampled,Hours_base,Days_base,Component,Filter,Marker,Filt_mL,Control,Reaction,Dilution,ddPCR_copies_ul_well,Positive_droplets,Negative_droplets,copies_ul_extract,copies_mL
52345-753,753,2,1,At_CEG,1,21:43,3.4,0.14,DNA,5,Cytb,1950,FALSE,Monoplex,1,23.10539627,427,21529,254.159359,6.51690664
52345-753,753,3,1,At_CEG,1,21:43,3.4,0.14,DNA,5,16S,1950,FALSE,Duplex,1,23.54258728,361,17860,258.9684601,6.640216925
52345-753,753,1,1,At_CEG,1,21:43,3.4,0.14,DNA,5,Cytb,1950,FALSE,Monoplex,1,27.4480648,440,18640,301.9287128,7.741761867
52345-754,754,2,1,At_CEG,2,21:58,3.7,0.15,Carryover,5,Cytb,1300,FALSE,Monoplex,1,47.36974335,787,19155,521.0671769,20.04104526
52345-753,753,1,1,At_CEG,1,21:43,3.4,0.14,Carryover,5,Cytb,1950,FALSE,Monoplex,1,49.03871918,850,19970,539.425911,13.83143361
52345-753,753,2,1,At_CEG,1,21:43,3.4,0.14,Carryover,5,Cytb,1950,FALSE,Monoplex,1,52.61434174,897,19612,578.7577591,14.83994254
52345-754,754,1,1,At_CEG,2,21:58,3.7,0.15,Carryover,5,Cytb,1300,FALSE,Monoplex,1,61.4148674,1022,19071,675.5635414,25.98321313
52345-757,757,1,2,4h,1,1:30,7.2,0.3,RNA,5,Cytb,2050,FALSE,Monoplex,0.4,0,0,22006,0,0
52345-757,757,2,2,4h,1,1:30,7.2,0.3,RNA,5,Cytb,2050,FALSE,Monoplex,0.4,0,0,20257,0,0
52345-757,757,2,2,4h,1,1:30,7.2,0.3,DNA,5,Bridge,2050,FALSE,Duplex,1,1.365878488,25,21878,15.02466337,0.366455204
52345-757,757,3,2,4h,1,1:30,7.2,0.3,DNA,5,Bridge,2050,FALSE,Duplex,1,2.010006339,35,20600,22.11006972,0.539269993
52345-757,757,1,2,4h,1,1:30,7.2,0.3,DNA,5,Bridge,2050,FALSE,Duplex,1,2.438143252,43,20549,26.81957577,0.654135994
52345-757,757,1,2,4h,1,1:30,7.2,0.3,RNA,5,16S,2050,FALSE,Monoplex,0.1,0.742620893,14,22172,81.68829823,1.992397518
52345-757,757,2,2,4h,1,1:30,7.2,0.3,RNA,5,16S,2050,FALSE,Monoplex,0.1,0.821988225,16,22892,90.41870475,2.205334262
52345-757,757,3,2,4h,1,1:30,7.2,0.3,DNA,5,Dloop,2050,FALSE,Duplex,1,16.824646,293,20342,185.071106,4.513929414
52345-757,757,2,2,4h,1,1:30,7.2,0.3,DNA,5,Dloop,2050,FALSE,Duplex,1,17.58745384,325,21578,193.4619922,4.718585177
52345-757,757,1,2,4h,1,1:30,7.2,0.3,DNA,5,Dloop,2050,FALSE,Duplex,1,18.65807343,324,20268,205.2388077,5.005824579
52345-757,757,2,2,4h,1,1:30,7.2,0.3,DNA,5,16S,2050,FALSE,Monoplex,1,34.20604706,635,21524,376.2665177,9.177232138
52345-757,757,1,2,4h,1,1:30,7.2,0.3,DNA,5,16S,2050,FALSE,Monoplex,1,34.83886337,608,20229,383.2274971,9.347012124
52345-757,757,4,2,4h,1,1:30,7.2,0.3,DNA,5,16S,2050,FALSE,Duplex,1,35.22042465,646,21257,387.4246712,9.449382223
52345-757,757,5,2,4h,1,1:30,7.2,0.3,DNA,5,16S,2050,FALSE,Duplex,1,35.77264786,618,20017,393.4991264,9.597539669
52345-757,757,3,2,4h,1,1:30,7.2,0.3,DNA,5,16S,2050,FALSE,Duplex,1,38.2658844,659,19933,420.9247284,10.26645679
52345-757,757,2,2,4h,1,1:30,7.2,0.3,DNA,5,Cytb,2050,FALSE,Monoplex,1,42.43153381,750,20422,466.7468719,11.38407005
52345-757,757,1,2,4h,1,1:30,7.2,0.3,DNA,5,Cytb,2050,FALSE,Monoplex,1,45.01341248,740,18973,495.1475373,12.0767692
52345-757,757,2,2,4h,1,1:30,7.2,0.3,Carryover,5,Cytb,2050,FALSE,Monoplex,1,92.61198425,1554,18974,1018.731827,24.84711773
52345-757,757,1,2,4h,1,1:30,7.2,0.3,Carryover,5,Cytb,2050,FALSE,Monoplex,1,118.1224976,2117,20044,1299.347474,31.6914018
52345-760,760,1,2,4h,4,2:10,7.4,0.31,Carryover,5,Cytb,1950,TRUE,Monoplex,1,0,0,21716,0,0
52345-760,760,2,2,4h,4,2:10,7.4,0.31,Carryover,5,Cytb,1950,TRUE,Monoplex,1,0,0,19411,0,0
52345-760,760,1,2,4h,4,2:10,7.4,0.31,DNA,5,Bridge,1950,TRUE,Duplex,1,0,0,22914,0,0
52345-760,760,2,2,4h,4,2:10,7.4,0.31,DNA,5,Bridge,1950,TRUE,Duplex,1,0,0,22987,0,0
52345-760,760,3,2,4h,4,2:10,7.4,0.31,DNA,5,Bridge,1950,TRUE,Duplex,1,0,0,21408,0,0
52345-760,760,1,2,4h,4,2:10,7.4,0.31,DNA,5,16S,1950,TRUE,Monoplex,1,0,0,22493,0,0
52345-760,760,2,2,4h,4,2:10,7.4,0.31,DNA,5,16S,1950,TRUE,Monoplex,1,0,0,20797,0,0
52345-760,760,3,2,4h,4,2:10,7.4,0.31,DNA,5,16S,1950,TRUE,Duplex,1,0,0,22914,0,0
52345-760,760,4,2,4h,4,2:10,7.4,0.31,DNA,5,16S,1950,TRUE,Duplex,1,0,0,22987,0,0
52345-760,760,5,2,4h,4,2:10,7.4,0.31,DNA,5,16S,1950,TRUE,Duplex,1,0,0,21408,0,0
52345-760,760,1,2,4h,4,2:10,7.4,0.31,DNA,5,Cytb,1950,TRUE,Monoplex,1,0,0,21414,0,0
52345-760,760,2,2,4h,4,2:10,7.4,0.31,DNA,5,Cytb,1950,TRUE,Monoplex,1,0,0,19328,0,0
52345-760,760,1,2,4h,4,2:10,7.4,0.31,DNA,5,Dloop,1950,TRUE,Duplex,1,0,0,22914,0,0
52345-760,760,2,2,4h,4,2:10,7.4,0.31,DNA,5,Dloop,1950,TRUE,Duplex,1,0,0,22987,0,0
52345-760,760,3,2,4h,4,2:10,7.4,0.31,DNA,5,Dloop,1950,TRUE,Duplex,1,0,0,21408,0,0
52345-760,760,1,2,4h,4,2:10,7.4,0.31,RNA,5,16S,1950,TRUE,Monoplex,0.1,0,0,19837,0,0
52345-760,760,2,2,4h,4,2:10,7.4,0.31,RNA,5,16S,1950,TRUE,Monoplex,0.1,0,0,18546,0,0
52345-760,760,1,2,4h,4,2:10,7.4,0.31,RNA,5,Cytb,1950,TRUE,Monoplex,0.4,0,0,20916,0,0
52345-760,760,2,2,4h,4,2:10,7.4,0.31,RNA,5,Cytb,1950,TRUE,Monoplex,0.4,0,0,20621,0,0
52345-761,761,2,3,8h,1,5:34,11.3,0.47,RNA,5,16S,1925,FALSE,Monoplex,0.1,0,0,19686,0,0
52345-761,761,3,3,8h,1,5:34,11.3,0.47,DNA,5,Bridge,1925,FALSE,Duplex,1,0.48010579,8,19104,5.281163685,0.137173083
52345-761,761,2,3,8h,1,5:34,11.3,0.47,DNA,5,Bridge,1925,FALSE,Duplex,1,0.774060975,14,20995,8.514670722,0.221160279
